,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office,Rated,Metascore,IMDB Rating,IMDB Votes,Rotten Tomatoes
86,86,tt2034031,Laggies,Laggies,2014,99,"Comedy,Drama,Romance",114265,2034031,244264.0,0.0128286008721179,5000000.0,2379154,R,63.0,6.4,42975.0,65.0
87,87,tt1340107,In a Better World,Hævnen,2010,118,"Drama,Romance",81257,1340107,44716.0,0.0128363703490247,15000000.0,13004198,R,65.0,7.6,39359.0,78.0
88,88,tt2294677,In a World...,In a World...,2013,93,Comedy,104339,2294677,157360.0,0.0130179258098253,1000000.0,2963902,R,79.0,6.7,31513.0,92.0
89,89,tt0255819,Baby Boy,Baby Boy,2001,130,"Crime,Drama,Romance",4371,255819,16161.0,0.0146934336724015,16000000.0,29381649,R,55.0,6.4,13881.0,71.0
90,90,tt1448755,Killer Elite,Killer Elite,2011,116,"Action,Crime,Thriller",89840,1448755,49021.0,0.0150437500578205,66000000.0,57777106,R,44.0,6.4,127022.0,28.0
91,91,tt3530456,A esmorga,A esmorga,2014,111,Drama,201264,3530456,298780.0,0.0151103256919687,,100,TV-MA,,6.4,262.0,
92,92,tt0800369,Thor,Thor,2011,115,"Action,Adventure,Fantasy",86332,800369,10195.0,0.0151852809411302,150000000.0,449326618,PG-13,57.0,7.0,783232.0,77.0
93,93,tt0907678,Edison & Leo,Edison & Leo,2008,79,"Adventure,Animation,Comedy",162796,907678,45097.0,0.0154499537512851,10000000.0,1000000,Not Rated,,5.5,223.0,
94,94,tt0219854,The Kid,The Kid,2000,104,"Comedy,Family,Fantasy",3784,219854,4244.0,0.0155247867498117,65000000.0,69700000,PG,45.0,6.1,41345.0,49.0
95,95,tt0374569,Che: Part Two,Che: Part Two,2008,135,"Biography,Drama,History",64501,374569,8880.0,0.0156846324981759,40000000.0,8638163,Not Rated,64.0,6.9,33114.0,79.0
96,96,tt0962726,High School Musical 3: Senior Year,High School Musical 3: Senior Year,2008,112,"Comedy,Drama,Family",62912,962726,11887.0,0.0157106194636801,11000000.0,252909177,G,57.0,4.9,60191.0,63.0
97,97,tt0372532,The Wedding Date,The Wedding Date,2005,90,"Comedy,Romance",31433,372532,6961.0,0.0158064066477833,15000000.0,47175038,PG-13,32.0,6.2,50342.0,11.0
98,98,tt0233469,Collateral Damage,Collateral Damage,2002,108,"Action,Drama,Thriller",5093,233469,9884.0,0.0161323820975241,85000000.0,78382433,R,33.0,5.5,73607.0,19.0
99,99,tt2713180,Fury,Fury,2014,134,"Action,Drama,War",115210,2713180,228150.0,0.0161451229677288,68000000.0,211817906,R,64.0,7.6,449672.0,76.0
100,100,tt7589524,Aniara,Aniara,2018,106,"Drama,Sci-Fi",193455,7589524,496743.0,0.0161576049421457,,40124,R,61.0,6.3,8022.0,71.0
101,101,tt4819498,Chronicles of the Ghostly Tribe,Jiu ceng yao ta,2015,118,"Action,Adventure,Drama",157677,4819498,364324.0,0.0163282938470772,,99849421,Not Rated,,5.1,1610.0,
102,102,tt2784678,Top Five,Top Five,2014,102,"Comedy,Romance",118924,2784678,284296.0,0.0163536350607488,,25434291,R,81.0,6.4,26331.0,86.0
103,103,tt1109624,Paddington,Paddington,2014,95,"Adventure,Animation,Comedy",117887,1109624,116149.0,0.0163597175977743,55000000.0,259207227,PG,77.0,7.2,105108.0,97.0
104,104,tt3905764,The Neighbor,The Neighbor,2017,105,"Romance,Thriller",189431,3905764,415311.0,0.0163791837398066,,5500000,R,,4.9,6295.0,
105,105,tt0419706,Doom,Doom,2005,105,"Action,Horror,Sci-Fi",37380,419706,8814.0,0.0165235571108619,60000000.0,58072119,R,34.0,5.2,110806.0,18.0
106,106,tt1464535,Cold Prey III,Fritt vilt III,2010,95,"Horror,Thriller",104388,1464535,56937.0,0.0168276039244172,,2439448,,,5.1,4025.0,
